Internal key	English source	Translation	Placeholders
$Whereabouts_InspectorSearchHelp	Search by NPC name, plugin, EditorID, FormID, identity, or location.		
$Whereabouts_NoMatchingNpcs	No matching NPCs.		
$Whereabouts_TouchCount	Touch count		
$Whereabouts_OriginalFlagsThisSession	Original flags this session		
$Whereabouts_NotCaptured	Not captured		
$Whereabouts_NoFlags	No flags		
$Whereabouts_CommandLayout	Command layout		
$Whereabouts_CommandLayoutHelp	Show, hide, and reorder command actions. Hidden actions remain available for Quick Action and double-click assignments.		
$Whereabouts_Visible	Visible		
$Whereabouts_MoveUp	Move up		
$Whereabouts_MoveDown	Move down		
$Whereabouts_ContentShort	Content		
$Whereabouts_PotentialShort	Potential		
$Whereabouts_FavoriteShort	Fav		
$Whereabouts_SameShort	Same		
$Whereabouts_GenericNpcsShort	Generic NPCs		
$Whereabouts_GenericShort	Generic		
$Whereabouts_TouchesRecordShort	Touches record		
$Whereabouts_TouchesShort	Touches		
$Whereabouts_OriginalShort	Original		
$Whereabouts_WinningShort	Winning		
$Whereabouts_WinnerShort	Winner		
$Whereabouts_KeywordShort	Keyword		
$Whereabouts_VoiceShort	Voice		
$Whereabouts_CombatShort	Combat		
$Whereabouts_ConflictedShort	Conflicted		
$Whereabouts_ConflictShort	Conflict		
$Whereabouts_ScaledShort	Scaled		
$Whereabouts_MinRecordsShort	Min records		
$Whereabouts_MinShort	Min		
$Whereabouts_MaxRecordsShort	Max records		
$Whereabouts_MaxShort	Max		
$Whereabouts_SearchContentHelp	Choose whether Search returns NPCs, locations, or both.		
$Whereabouts_ShareFavoritesAcrossSaves	Share Favorites between saves		
$Whereabouts_ShareFavoritesHelp	When enabled, stable Favorites are shared across saves and playthroughs for this Skyrim installation.		
$Whereabouts_ShareFavoritesMerged	Favorites from this save and the shared list were merged.		
$Whereabouts_ShareFavoritesDisabled	Favorites sharing is off. The shared list was preserved.		
$Whereabouts_ShareFavoritesChangeFailed	Favorites sharing could not be changed: {}		{}
$Whereabouts_ClearFavoritesPreservedShared	Favorites were cleared from this save. Sharing was turned off and the shared list was preserved.		
$Whereabouts_GlobalUiDensity	Global UI density		
$Whereabouts_DensityOverrides	Density overrides		
$Whereabouts_UseGlobal	Use Global		
$Whereabouts_DensityOverridesHelp	Use Global follows the top-level density. Overrides apply immediately.		
$Whereabouts_Results	Results		
$Whereabouts_SelectedNpcAndCommands	Selected NPC and commands		
$Whereabouts_SavedListsDensityArea	Recent, Favorites, and Tracked		
