Internal key	English source	Translation	Placeholders
$Whereabouts_RefreshIndex	Refresh Search Index		
$Whereabouts_RebuildSearchData	Rebuild search data		
$Whereabouts_PrepareUninstall	Prepare for Uninstall		
$Whereabouts_Advanced	Advanced		
$Whereabouts_LiveSearch	Live search		
$Whereabouts_TeleportSeparation	Teleport separation		
$Whereabouts_ConfirmDisable	Confirm disable		
$Whereabouts_ConfirmTeleport	Confirm teleport		
$Whereabouts_KeepOpen	Keep menu open after inline command		
$Whereabouts_DebugLogging	Debug logging		
$Whereabouts_Reset	Reset		
$Whereabouts_RestoreDefaults	Restore Default Settings		
$Whereabouts_Restore	Restore		
$Whereabouts_About	About Whereabouts		
$Whereabouts_RecentNpcs	Recent NPCs		
$Whereabouts_ClearRecent	Clear Recent		
$Whereabouts_ClearFavorites	Clear Favorites		
$Whereabouts_ClearMarkers	Clear All Markers		
$Whereabouts_Action	Action		
$Whereabouts_Remove	Remove		
$Whereabouts_RemoveRecord	Remove Record		
$Whereabouts_RemoveUnavailable	Remove Unavailable Entries		
$Whereabouts_Clear	Clear		
$Whereabouts_Cancel	Cancel		
$Whereabouts_Apply	Apply		
$Whereabouts_Backspace	Backspace		
$Whereabouts_Space	Space		
$Whereabouts_Confirm	Confirm		
$Whereabouts_ContinueTrack	Continue and Track		
$Whereabouts_EnableMove	Enable and move		
$Whereabouts_Health	Health		
$Whereabouts_Magicka	Magicka		
$Whereabouts_Stamina	Stamina		
$Whereabouts_GenericNpc	Generic NPC		
$Whereabouts_Tracked	Tracked		
$Whereabouts_Favorite	Favorite		
$Whereabouts_MissingBody	Body no longer available		
$Whereabouts_Npc	NPC		
$Whereabouts_NoEntries	No entries.		
$Whereabouts_SearchHelp	Search by name, EditorID, FormID, or stable plugin ID.		
$Whereabouts_PluginFilterHelp	Matches any part of a plugin name.		
$Whereabouts_FollowerHelp	Currently following the player.		
$Whereabouts_PotentialFollowerHelp	In Skyrim's potential-follower faction; recruitment can still be blocked.		
$Whereabouts_TriStateFilterHelp	Any ignores this status. Yes requires it. No excludes it.		
$Whereabouts_FollowerTriStateHelp	Currently following. Any ignores it; Yes requires it; No excludes it.		
$Whereabouts_PotentialFollowerTriStateHelp	Potential-follower faction. Any ignores it; Yes requires it; No excludes it.		
$Whereabouts_SameLocationHelp	Same cell or assigned Location.		
$Whereabouts_GenericHelp	Shows non-unique actors. Commands use the exact reference FormID.		
$Whereabouts_ResizeHelp	Drag to resize the result and detail panes.		
$Whereabouts_ConsoleTargetHelp	Uses the console-selected NPC when Whereabouts opens.		
$Whereabouts_CrosshairTargetHelp	Uses the NPC under the crosshair when Whereabouts opens.		
$Whereabouts_CompactHelp	Compact shows one line per NPC.		
$Whereabouts_SuperCompactHelp	Super Compact shows only NPC name and FormID.		
$Whereabouts_RefreshHelp	Rebuilds the searchable NPC list.		
$Whereabouts_CleanupRunningHelp	Cleanup is already running.		
$Whereabouts_CleanupCompleteHelp	Cleanup complete. Save, quit Skyrim, then remove the mod.		
$Whereabouts_CleanupHelp	Clears markers and Whereabouts save lists. Then save, quit Skyrim, and remove the mod.		
$Whereabouts_RestorePrompt	Restore Whereabouts defaults?		
$Whereabouts_RestoreBody	Restore every global Whereabouts setting to its default value?		
$Whereabouts_ModTitle	Whereabouts - Search, Locate, and Track NPCs		
$Whereabouts_Requirements	Requires the matching SKSE and Address Library, Skyrim VR ESL Support on VR, and either SKSE Menu Framework or ApocryphaRealm Menu Framework.		
$Whereabouts_ReferenceCredit	Thanks to k0mp1ex for Where Are You, an awesome mod and the inspiration for Whereabouts.		
$Whereabouts_FrameworkCredit	SKSE Menu Framework API by QTR-Modding, used under LGPL-2.1.		
$Whereabouts_ClearFavoritesPrompt	Clear all favorites?		
$Whereabouts_ClearFavoritesBody	Remove every favorite from this save?		
$Whereabouts_ClearRecentPrompt	Clear recent history?		
$Whereabouts_ClearRecentBody	Remove all recent NPCs from this save?		
$Whereabouts_ClearTrackingPrompt	Clear all tracking markers?		
$Whereabouts_ClearTrackingBody	Remove all active Whereabouts map markers?		
$Whereabouts_NoTracked	No tracked NPCs.		
$Whereabouts_TrackingBusy	Tracking is updating.		
$Whereabouts_RemoveMissingHelp	Removes this missing-body history entry.		
$Whereabouts_MissingLegend	M means the body is no longer available. Remove Record dismisses that history entry.		
$Whereabouts_TrackingCapacityHelp	Up to 100 active markers. Missing-body records use no marker slots.		
